ref,headline,exact,story,roberta,bert-base-data,bert-base-lstm,male-fake,male-fake-percent,female-fake,female-fake-percent,male-real,male-real-percent,female-real,female-real-percent,male-age,female-age
B,EU agrees to ban all Russian oil imports,fake,real,real,fake,fake,7,23.34,1,3.34,12,40,10,33.34,,
B,Huge asteroid to pass close to Earth next week,real,real,fake,fake,fake,3,10,2,6.67,16,53.34,9,30,,
B,Scientists discover new planet that could support life,fake,real,real,fake,fake,6,20,4,13.34,13,43.34,7,23.34,,
B,Major breakthrough in cancer research,real,real,fake,fake,fake,7,23.34,5,16.67,12,40,6,20,,
B,Boris Johnson to resign after partygate scandal,fake,real,real,fake,fake,3,10,4,13.34,16,53.34,7,23.34,,
B,Keir Starmer to become next Prime Minister,fake,real,fake,fake,fake,16,53.34,9,30,3,10,2,6.67,,
B,Labour Party to win general election with landslide victory,fake,real,real,fake,fake,8,26.67,5,16.67,11,36.67,6,20,,
B,SNP to win Scottish independence referendum,fake,real,real,fake,fake,9,30,6,20,10,33.34,5,16.67,,
B,UK to leave European Union without a deal,fake,fake,real,fake,fake,4,13.34,2,6.67,15,50,9,30,,
B,Second COVID-19 pandemic hits UK,fake,fake,fake,fake,real,11,36.67,4,13.34,8,26.67,7,23.34,,
B,Huge earthquake hits London,fake,fake,fake,fake,fake,18,60,11,36.67,1,3.34,0,0,,
B,Met Office issues 'red alert' for extreme heat,real,real,fake,fake,fake,3,10,3,10,16,53.34,8,26.67,,
B,UK to experience worst drought in 100 years,fake,fake,real,fake,fake,5,16.67,6,20,14,46.67,5,16.67,,
B,Wildfires destroy large swathes of countryside,fake,real,real,fake,fake,5,16.67,2,6.67,14,46.67,9,30,,
H,"US and China edge closer to trade deal, but tensions remain",fake,fake,real,fake,fake,4,13.34,3,10,15,50,8,26.67,,
H,NATO chief warns of Russian threat to European security,fake,real,real,fake,fake,1,3.34,2,6.67,18,60,9,30,,
H,"Iran nuclear deal on life support as France, Germany threaten to pull out",fake,real,real,fake,real,7,23.34,3,10,12,40,8,26.67,,
H,"North Korea fires ballistic missile, sparking alarm in Seoul and Tokyo",fake,real,real,fake,fake,5,16.67,6,20,14,46.67,5,16.67,,
H,"UK PM Johnson denies cover-up over Parliament shutdown, defends Brexit strategy",fake,fake,real,fake,fake,10,33.34,1,3.34,9,30,10,33.34,,
H,Pakistan PM Khan calls for dialogue with India after Kashmir clashes,fake,real,real,fake,fake,4,13.34,0,0,15,50,11,36.67,,
H,Putin's party wins majority in Russian parliamentary elections,real,real,real,fake,fake,4,13.34,1,3.34,15,50,10,33.34,,
H,"US Defense Secretary Esper visits Kabul, promises continued support for Afghan forces",fake,real,real,fake,fake,16,53.34,11,36.67,3,10,0,0,,
H,Sudan's Bashir sentenced to 20 years in prison for corruption,fake,real,real,fake,fake,7,23.34,10,33.34,12,40,1,3.34,,
H,Protests erupt in Egypt after government proposes constitutional changes,fake,real,real,fake,fake,7,23.34,3,10,12,40,8,26.67,,
H,"Netanyahu's Likud Party wins Israeli election, setting up right-wing coalition",fake,fake,real,fake,fake,4,13.34,4,13.34,15,50,7,23.34,,
H,Thousands march in London to demand second Brexit referendum,fake,real,real,fake,fake,10,33.34,8,26.67,9,30,3,10,,
H,"US and South Korea begin joint military exercises, angering Pyongyang",fake,real,real,fake,fake,3,10,2,6.67,16,53.34,9,30,,
H,Erdogan's AKP loses Istanbul mayoralty in blow to Turkish president,fake,real,real,fake,fake,11,36.67,10,33.34,8,26.67,1,3.34,,
H,Hong Kong police arrest dozens in latest anti-government protests,fake,real,real,fake,fake,1,3.34,0,0,18,60,11,36.67,,
H,"Indonesia's Widodo inaugurated for second term, vows to tackle radicalism",fake,fake,real,fake,real,6,20,3,10,13,43.34,8,26.67,,
H,Mali's Keita names new government after resignation of prime minister,fake,real,real,fake,fake,12,40,9,30,7,23.34,2,6.67,,
H,UN Security Council extends Somalia peacekeeping mission,fake,real,real,fake,fake,2,6.67,1,3.34,17,56.67,10,33.34,,
H,"Czech PM Babis survives no-confidence vote, keeps grip on power",fake,real,real,fake,fake,12,40,9,30,7,23.34,2,6.67,,
H,Myanmar's Suu Kyi faces pressure over Rohingya genocide allegations at ICJ,fake,real,real,fake,real,3,10,1,3.34,16,53.34,10,33.34,,
